Test Data File:/Users/samahy/College/Computer System Security/12th_Project/Tasks/Task_1/encrypted_cfb.bin_string.bin


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.33705521493367574 	Random
02. Frequency Test within a Block                 	0.9974124747260082  	Random
03. Runs Test                                     	0.5073803757767417  	Random
04. Test for the Longest Run of Ones in a Block   	0.24512632889520208 	Random
05. Binary Matrix Rank Test                       	0.7515836479160033  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.20537891034612765 	Random
07. Non-overlapping Template Matching Test        	0.6144429353439044  	Random
08. Overlapping Template Matching Test            	0.4139889581685537  	Random
09. Maurer's "Universal Statistical" Test         	0.8283848113228522  	Random
10. Linear Complexity Test                        	0.9533639205736885  	Random
11. Serial Test:
													0.3334470051310822  	Random
													0.5457521613990917  	Random
12. Approximate Entropy Test                      	0.985908562197141   	Random
13. Cumulative Sums Test (Forward)                	0.5280552415504154  	Random
14. Cumulative Sums Test (Backward)               	0.14852246264978008 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.3225018171044884  	0.6503984660984446  	Random
				-3        	0.8056716343143413  	0.9766701793358165  	Random
				-2        	4.264717023431279   	0.5119661269996006  	Random
				-1        	3.413274890419537   	0.6365489231358014  	Random
				+1        	4.311208515967439   	0.5055330727280505  	Random
				+2        	1.7481466020393175  	0.8827791473763106  	Random
				+3        	3.5179752035065692  	0.6206695134214877  	Random
				+4        	5.277873678703588   	0.38291759985974294 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	1554                	0.853594509226217   	Random
				-8.0      	1522                	0.7318633006728545  	Random
				-7.0      	1478                	0.5592248516505007  	Random
				-6.0      	1502                	0.6122761575245252  	Random
				-5.0      	1525                	0.6710828144475349  	Random
				-4.0      	1511                	0.5651890925556817  	Random
				-3.0      	1557                	0.7516043204112132  	Random
				-2.0      	1584                	0.8943473961157943  	Random
				-1.0      	1569                	0.6202899609732611  	Random
				+1.0      	1597                	1.0                 	Random
				+2.0      	1579                	0.854104297642865   	Random
				+3.0      	1657                	0.6349388207740039  	Random
				+4.0      	1675                	0.6019149510477143  	Random
				+5.0      	1637                	0.8134919995654255  	Random
				+6.0      	1588                	0.9617041314827208  	Random
				+7.0      	1513                	0.680170460943814   	Random
				+8.0      	1428                	0.440055131974034   	Random
				+9.0      	1383                	0.3584205780233013  	Random
